5 3.000000000000000062e-03 8.999999999999999320e-03 1.299999999999999940e-02 3.099999999999999978e-02
10 1.799999999999999864e-02 5.999999999999999778e-02 6.900000000000000577e-02 1.219999999999999973e-01
15 1.100000000000000006e-01 1.640000000000000069e-01 1.042999999999999927e+00 5.779999999999999583e-01
20 1.870999999999999996e+00 3.516999999999999904e+00 1.727000000000000091e+00 2.210999999999999854e+00
25 3.197000000000000064e+00 7.900999999999999801e+00 9.552500000000000568e+01 3.371999999999999886e+00
30 3.000000000000000062e-03 8.999999999999999320e-03 1.600000000000000033e-02 1.700000000000000122e-02
35 3.300000000000000155e-02 1.239999999999999991e-01 7.399999999999999634e-02 5.949999999999999734e-01
40 4.269999999999999907e-01 2.289000000000000146e+00 6.340000000000000080e-01 5.520000000000000462e-01
45 8.379999999999999671e-01 8.810000000000000053e-01 4.673000000000000043e+00 6.269000000000000128e+00
50 7.391000000000000014e+00 1.349099999999999966e+01 9.282999999999999474e+00 2.896999999999999797e+00
55 3.000000000000000062e-03 1.099999999999999936e-02 1.499999999999999944e-02 3.699999999999999817e-02
60 1.049999999999999961e-01 7.199999999999999456e-02 6.700000000000000400e-02 1.280000000000000027e-01
65 1.300000000000000044e-01 3.210000000000000075e-01 5.060000000000000053e-01 3.489999999999999769e-01
70 1.018999999999999906e+00 1.951999999999999957e+00 2.946089999999999804e+02 5.841199999999999903e+01
75 1.286000000000000032e+00 1.080400000000000027e+01 1.126800000000000068e+01 6.394999999999999574e+00
80 6.000000000000000125e-03 1.700000000000000122e-02 2.400000000000000050e-02 2.900000000000000147e-02
85 3.200000000000000067e-02 5.700000000000000205e-02 4.900000000000000189e-02 1.670000000000000095e-01
90 1.390000000000000124e-01 1.519999999999999962e-01 8.479999999999999760e-01 5.030000000000000027e-01
95 6.490000000000000213e-01 2.471699999999999875e+01 4.874600000000000222e+01 1.393999999999999906e+00
100 1.564000000000000057e+00 4.639999999999999680e+00 5.384000000000000341e+00 2.105900000000000105e+01
